bookID,isbn,title,author,contributors,book_series,average_rating,num_pages,ratings_count,text_reviews_count,isbn13,language_code,publication_date,publisher
23336,791056643,j.d. salinger's catcher in the rye (modern critical interpretations),harold bloom,,n,3.58,176,18,2,9780000000000.0,eng,2000-12-31,chelsea house publications
51,1557344493,"hatchet: a guide for using ""hatchet"" in the classroom",donna ickes,edward sciranko/keith vasconcelles,n,4.0,48,36,2,9780000000000.0,eng,1994-08-28,teacher created resources
53,385326505,guts: the true stories behind hatchet and the brian books,gary paulsen,,y,3.88,144,2067,334,9780000000000.0,eng,2001-01-23,delacorte press
54,1575606240,molly hatchet - 5 of the best,molly hatchet,,n,4.33,56,6,0,9780000000000.0,eng,2003-06-10,cherry lane music company
55,1595580271,hatchet jobs: writings on contemporary fiction,dale peck,,n,3.45,228,99,16,9780000000000.0,eng,2005-11-01,the new press
57,1595962808,a changeling for all seasons (changeling seasons #1),angela knight,sahara kelly/judy mays/marteeka karland/kate douglas/shelby morgen/lacey savage/kate hill/willa okati,n,3.76,304,167,4,9780000000000.0,eng,2005-11-01,changeling press
58,670059676,changeling (changeling  #1),delia sherman,,n,3.6,256,978,111,9780000000000.0,eng,2006-08-17,viking juvenile
59,141312629,the changeling sea,patricia a. mckillip,,n,4.06,137,4454,302,9780000000000.0,eng,2003-04-14,firebird
61,595321801,the changeling,zilpha keatley snyder,,n,4.17,228,1176,96,9780000000000.0,eng,2004-06-08,iuniverse
63,1590301943,the changeling,kate horsley,,n,3.55,339,301,43,9780000000000.0,eng,2005-04-12,shambhala
66,449146979,the changeling (daughters of england  #15),philippa carr,,n,3.98,369,345,12,9780000000000.0,eng,1990-08-28,ivy books
67,61159174,the known world,edward p. jones,,n,3.83,388,29686,2626,9780000000000.0,eng,2006-08-29,amistad
68,006076273x,the known world,edward p. jones,kevin r. free,n,3.83,14,55,12,9780000000000.0,eng,2004-06-15,harperaudio
69,60749911,the known world,edward p. jones,,n,3.83,576,22,3,9780000000000.0,eng,2004-06-15,harper
71,273704745,traders  guns & money: knowns and unknowns in the dazzling world of derivatives,satyajit das,,n,3.83,334,1456,82,9780000000000.0,eng,2006-05-15,ft press
72,1932386106,artesia: adventures in the known world,mark smylie,,n,4.13,352,52,4,9780000000000.0,eng,2005-12-14,archaia
74,374517193,the john mcphee reader (john mcphee reader  #1),john mcphee,william howarth,n,4.42,416,562,37,9780000000000.0,eng,1982-06-01,farrar  straus and giroux
75,374280398,uncommon carriers,john mcphee,,n,3.95,248,1630,203,9780000000000.0,eng,2006-05-16,farrar straus giroux
76,374519749,heirs of general practice,john mcphee,,n,4.17,128,268,22,9780000000000.0,eng,1986-04-01,farrar  straus and giroux
77,374522596,the control of nature,john mcphee,,n,4.24,288,3498,305,9780000000000.0,eng,1990-09-01,farrar  straus and giroux
78,374518734,annals of the former world,john mcphee,,n,4.34,720,3115,228,9780000000000.0,eng,1999-01-06,farrar  straus and giroux
79,374522871,coming into the country,john mcphee,,n,4.22,448,5704,261,9780000000000.0,eng,1991-04-01,farrar  straus and giroux
80,374519323,la place de la concorde suisse,john mcphee,,n,3.92,160,698,52,9780000000000.0,fra,1994-04-01,farrar  straus and giroux
81,374516006,giving good weight,john mcphee,,n,4.23,288,542,36,9780000000000.0,eng,1994-04-01,farrar  straus and giroux
83,374520658,rising from the plains,john mcphee,,n,4.23,208,1341,98,9780000000000.0,eng,1987-11-01,farrar  straus and giroux
85,822205106,the heidi chronicles,wendy wasserstein,,n,3.75,81,1423,70,9780000000000.0,eng,2002-03-01,dramatists play service
86,679734996,the heidi chronicles: uncommon women and others & isn't it romantic,wendy wasserstein,,n,3.84,249,2766,64,9780000000000.0,eng,1991-07-02,vintage
89,1596670231,active literacy across the curriculum: strategies for reading  writing  speaking  and listening,heidi hayes jacobs,,n,3.94,138,31,1,9780000000000.0,eng,2006-03-29,routledge
90,1581807740,simply beautiful beaded jewelry,heidi boyd,,n,3.77,128,62,4,9780000000000.0,eng,2006-03-14,north light books
91,800793617,always enough: god's miraculous provision among the poorest children on earth,heidi baker,rolland baker,n,4.46,192,860,53,9780000000000.0,eng,2003-09-01,chosen books
92,871202867,mapping the big picture: integrating curriculum & assessment k-12,heidi hayes jacobs,,n,3.68,108,77,2,9780000000000.0,eng,1997-01-28,association for supervision & curriculum development
93,753454947,heidi (heidi  #1-2),johanna spyri,beverly cleary/angelo  rinaldi,n,3.99,352,153317,2257,9780000000000.0,eng,2002-11-15,kingfisher
94,871209993,getting results with curriculum mapping,heidi hayes jacobs,,n,3.25,192,55,5,9780000000000.0,eng,2004-11-15,ascd
96,1852402873,there's always enough: the miraculous move of god in mozambique,rolland baker,heidi baker,n,4.46,192,34,6,9780000000000.0,eng,2003-04-28,sovereign world
98,761129588,what to expect the first year (what to expect),heidi murkoff,sharon mazel/arlene eisenberg/sandee hathaway/mark d. widome,n,3.89,832,11797,659,9780000000000.0,eng,2003-10-16,workman publishing company
99,972016414,the player's handbook: the ultimate guide on dating and relationships,heidi fleiss,libby keatinge,y,3.82,123,34,8,9780000000000.0,eng,2004-05-10,one hour entertainment
100,1581805632,simply beautiful beading: 53 quick and easy projects,heidi boyd,,n,3.78,128,78,4,9780000000000.0,eng,2004-08-19,north light books
103,441294677,god emperor of dune (dune chronicles  #4),frank herbert,,n,3.84,423,2785,166,9780000000000.0,eng,1987-06-15,ace books
105,441102670,chapterhouse: dune (dune chronicles #6),frank herbert,,n,3.91,436,38778,568,9780000000000.0,eng,1987-07-01,ace books
106,441172695,dune messiah (dune chronicles #2),frank herbert,,n,3.88,331,97494,2359,9780000000000.0,eng,1987-07-15,ace books
107,765306476,dreamer of dune: the biography of frank herbert,brian herbert,,n,4.01,592,784,21,9780000000000.0,eng,2004-07-01,tor books
109,399128980,heretics of dune (dune chronicles  #5),frank herbert,,n,3.86,480,272,20,9780000000000.0,eng,1984-04-16,putnam
110,765353709,the road to dune,frank herbert,brian herbert/kevin j. anderson,n,3.88,426,4789,83,9780000000000.0,eng,2006-08-29,tor science fiction
117,441328008,heretics of dune (dune chronicles #5),frank herbert,,n,3.86,471,45388,644,9780000000000.0,eng,1987-08-15,ace books
119,618212906,the lord of the rings: the art of the fellowship of the ring,gary russell,,n,4.59,192,26153,102,9780000000000.0,eng,2002-06-12,houghton mifflin harcourt
122,034541005x,the power of one (the power of one  #1),bryce courtenay,,n,4.35,544,69167,4551,9780000000000.0,eng,1996-09-29,ballantine books
123,385732546,the power of one (the power of one  #1),bryce courtenay,,n,4.35,291,45,13,9780000000000.0,eng,2005-09-13,delacorte books for young readers
129,785260056,the power of one: one person  one rule  one month,john c. maxwell,stephen r. graves/thomas g. addington,n,4.28,256,16,1,9780000000000.0,eng,2004-11-01,thomas nelson
130,471780936,power of an hour: business and life mastery in one hour a week,dave lakhani,,n,3.34,205,174,16,9780000000000.0,eng,2006-05-19,wiley
2218,076455302x,sex for dummies,ruth westheimer,,n,3.65,432,10,0,9780000000000.0,eng,2000-12-28,for dummies
132,006076287x,how to buy  sell & profit on ebay: kick-start your home-based business in just thirty days,adam ginsberg,,n,3.48,336,76,9,9780000000000.0,eng,2005-05-03,william morrow paperbacks
133,470045299,ebay for dummies,marsha collier,,n,3.5,386,111,9,9780000000000.0,eng,2006-10-30,wiley
135,72262788,what to sell on ebay and where to get it: the definitive guide to product sourcing for ebay and beyond,chris malta,lisa suttora,n,3.62,260,24,0,9780000000000.0,eng,2006-01-24,mcgraw-hill
137,764569244,starting an ebay business for dummies,marsha collier,,n,3.55,384,55,4,9780000000000.0,eng,2004-09-17,wiley
138,471933821,ebay: top 100 simplified tips & tricks,julia wilkinson,,n,4.27,260,9,0,9780000000000.0,eng,2006-06-06,wiley
139,764559915,ebay timesaving techniques for dummies,marsha collier,,n,3.39,391,22,1,9780000000000.0,eng,2004-05-31,wiley
140,764584383,ebay business all-in-one desk reference for dummies,marsha collier,,n,3.89,864,17,3,9780000000000.0,eng,2005-04-25,wiley
141,596523696,ruby cookbook,lucas carlson,leonard richardson,n,3.84,873,166,4,9780000000000.0,eng,2006-07-29,o'reilly media
142,806523492,ruby ann's down home trailer park cookbook,ruby ann boxcar,,n,4.12,240,50,5,9780000000000.0,eng,2005-05-03,citadel
144,806525363,ruby ann's down home trailer park bbqin' cookbook,ruby ann boxcar,,n,4.08,206,13,2,9780000000000.0,eng,2005-05-03,citadel
147,596527314,rails cookbook: recipes for rapid web development with ruby,rob orsini,,n,3.48,514,64,1,9780000000000.0,eng,2007-01-01,o'reilly media
151,143035002,anna karenina,leo tolstoy,richard pevear/larissa volokhonsky,n,4.05,838,16643,1851,9780000000000.0,eng,2004-05-31,penguin classics
152,451528611,anna karenina,leo tolstoy,david magarshack/priscilla meyer,n,4.05,960,109420,5696,9780000000000.0,eng,2002-11-05,signet
153,140449175,anna karenina,leo tolstoy,richard pevear/larissa volokhonsky/john bayley,n,4.05,837,2904,309,9780000000000.0,eng,2003-01-30,penguin books
154,822001837,cliffsnotes on tolstoy's anna karenina,marianne sturman,leo tolstoy,n,3.85,80,16,3,9780000000000.0,eng,2065-11-26,cliffs notes
155,1593080271,anna karenina,leo tolstoy,amy mandelker/constance garnett,n,4.05,803,9564,726,9780000000000.0,eng,2003-07-01,barnes & noble classics
156,486437965,anna karenina,leo tolstoy,louise maude/aylmer maude,n,4.05,752,474,72,9780000000000.0,eng,2004-11-23,dover publications
157,1593081774,anna karenina,leo tolstoy,constance garnett/amy mandelker,n,4.05,803,303,48,9780000000000.0,eng,2004-08-26,barnes & noble
159,778322270,dinner with anna karenina,gloria goldreich,,n,2.99,360,411,65,9780000000000.0,eng,2006-01-28,mira books
160,521313252,tolstoy: anna karenina,anthony thorlby,,n,4.19,128,1204,33,9780000000000.0,eng,1987-11-26,cambridge university press
162,140183957,untouchable,mulk raj anand,e.m. forster,n,3.71,160,3429,279,9780000000000.0,eng,1990-07-03,penguin books
163,679767479,the untouchable,john banville,,n,3.95,367,2163,216,9780000000000.0,eng,1998-06-30,vintage
164,1568491980,the untouchables,eliot ness,oscar fraley,n,3.89,256,613,31,9780000000000.0,eng,1996-02-01,buccaneer books
165,743270797,untouchables: my family's triumphant journey out of the caste system in modern india,narendra jadhav,,n,3.82,320,308,40,9780000000000.0,eng,2005-09-27,scribner
166,932863051,dalit: the black untaouchables of india,v.t. rajshekar,y.n. kly,n,4.2,100,10,0,9780000000000.0,eng,1995-01-28,clarity press
31356,023112189x,william faulkner: the sound and the fury and as i lay dying: essays  articles  reviews,nicolas tredell,,n,3.96,192,4,0,9780000000000.0,eng,2000-12-27,columbia university press
171,205358624,the evidence-based social work skills book,barry r. cournoyer,,n,3.4,216,10,0,9780000000000.0,eng,2003-09-22,pearson
177,1557344035,"a wrinkle in time: a guide for using ""a wrinkle in time"" in the classroom",john carratello,patty carratello/theresa wright,n,4.0,48,17,0,9780000000000.0,eng,1991-09-28,teacher created resources
180,380720442,wrinkles in time,george smoot,keay davidson,n,4.01,360,1035,23,9780000000000.0,eng,1994-10-01,harper perennial
181,821925326,a wrinkle in time: with related readings (a wrinkle in time quintet #1),madeleine l'engle,,n,4.0,250,36,6,9780000000000.0,eng,2002-05-01,emc/paradigm publishing
182,043927169x,literature circle guide: a wrinkle in time,tara maccarthy,,n,3.6,32,15,0,9780000000000.0,eng,2002-01-01,teaching resources
201,606105263,una arruga en el tiempo – a wrinkle in time,madeleine l'engle,,n,4.0,205,6,1,9780000000000.0,spa,1984-06-01,turtleback books
204,751506435,the long shadow (the morland dynasty  #6),cynthia harrod-eagles,,n,4.12,367,376,17,9780000000000.0,eng,1994-06-01,little  brown book group
205,006078671x,a long shadow (inspector ian rutledge  #8),charles todd,,n,4.11,352,3086,237,9780000000000.0,eng,2006-01-03,william morrow
207,743499344,long way round: chasing shadows across the world,ewan mcgregor,charley boorman/robert uhlig,n,3.94,320,352,44,9780000000000.0,eng,2005-11-01,atria books
208,765313405,a shadow in summer (long price quartet  #1),daniel abraham,,n,3.6,331,9852,633,9780000000000.0,eng,2006-03-07,tor books
213,1400032490,new hope for the dead (hoke mosely #2),charles willeford,james lee burke,n,3.9,244,821,78,9780000000000.0,eng,2004-08-10,vintage crime/black lizard
214,1400032482,sideswipe: a hoke moseley novel,charles willeford,lawrence block,n,4.05,215,731,72,9780000000000.0,eng,2005-03-08,vintage crime/black lizard
216,1400032466,miami blues (hoke moseley #1),charles willeford,elmore leonard,n,3.94,191,2897,178,9780000000000.0,eng,2004-08-10,vintage crime/black lizard
230,679732527,the burnt orange heresy (vintage crime/black lizard),charles willeford,,n,3.89,144,98,11,9780000000000.0,eng,1990-10-03,vintage
231,312424442,i am charlotte simmons,tom wolfe,,n,3.42,738,20888,1688,9780000000000.0,eng,2005-08-30,picador usa
237,806930772,poetry for young people: edward lear,edward lear,laura huliska-beith/edward mendelson,n,3.91,48,66,19,9780000000000.0,eng,2001-10-01,sterling
244,140366601,the puffin book of nonsense verse,quentin blake,,n,4.02,287,81,6,9780000000000.0,eng,1996-10-03,puffin
245,811201120,henry miller on writing,henry miller,thomas h. moore,n,4.22,217,981,52,9780000000000.0,eng,2064-02-01,new directions publishing
247,080213016x,quiet days in clichy,henry miller,,n,3.69,154,3381,141,9780000000000.0,eng,1994-01-13,grove press
249,802131786,tropic of cancer,henry miller,jiří níl,n,3.68,318,53206,2376,9780000000000.0,eng,1994-01-06,grove press
250,802151825,tropic of capricorn,henry miller,,n,3.78,348,14872,459,9780000000000.0,eng,1994-01-13,grove press
251,802151787,nexus (the rosy crucifixion  #3),henry miller,,n,4.1,316,3261,58,9780000000000.0,eng,1994-01-13,grove press
252,802151809,sexus (the rosy crucifixion  #1),henry miller,,n,3.98,506,7805,251,9780000000000.0,eng,1994-01-12,grove press
253,811201066,the air-conditioned nightmare,henry miller,,n,3.83,292,2699,142,9780000000000.0,eng,2070-01-17,new directions
264,141439637,the portrait of a lady,henry james,patricia crick,n,3.78,797,61640,1951,9780000000000.0,eng,2003-09-30,penguin classics
269,1593080964,the portrait of a lady,henry james,gabriel brownstein/mary cregan,n,3.78,635,392,41,9780000000000.0,eng,2004-01-16,barnes  noble classics
277,1571290532,writing,marguerite duras,,n,3.75,91,778,44,9780000000000.0,eng,1999-05-06,brookline books
278,1565842219,the war,marguerite duras,barbara bray,n,3.85,192,963,65,9780000000000.0,eng,1994-08-01,the new press
280,394743040,the ravishing of lol stein,marguerite duras,richard seever,n,3.66,181,2057,128,9780000000000.0,eng,1986-03-12,pantheon
285,1851681825,love letters,kahlil gibran,suheil bushrui/salma h. al-kuzbari,n,3.68,178,203,8,9780000000000.0,eng,1999-07-01,one world (uk)
288,156656249x,kahlil gibran: his life and world,jean gibran,جبران خليل جبران/kahlil gibran,n,4.21,464,35,2,9780000000000.0,eng,1998-04-01,interlink publishing group
289,014019553x,the beloved: reflections on the path of the heart,kahlil gibran,john walbridge/robin waterfield,n,4.19,102,328,16,9780000000000.0,eng,1998-01-01,penguin books
290,394431243,jesus the son of man,kahlil gibran,جبران خليل جبران,n,3.98,216,1308,82,9780000000000.0,eng,1995-02-21,knopf
291,806501901,the broken wings,kahlil gibran,جبران خليل جبران/anthony rizcallah ferris,n,3.92,132,6432,517,9780000000000.0,eng,2003-03-03,citadel
292,067943920x,sand and foam,kahlil gibran,جبران خليل جبران,n,4.08,100,3015,217,9780000000000.0,eng,2011-06-14,knopf
295,753453800,treasure island,robert louis stevenson,,n,3.83,311,318753,6734,9780000000000.0,eng,2001-09-15,kingfisher
296,1402714572,treasure island,robert louis stevenson,scott mckowen,n,3.83,213,420,42,9780000000000.0,eng,2004-10-01,sterling children's books
297,1416500294,treasure island,robert louis stevenson,,n,3.83,245,5967,276,9780000000000.0,eng,2005-06-01,simon & schuster
298,689854684,treasure island,robert louis stevenson,n.c. wyeth/timothy meis,n,3.83,64,104,14,9780000000000.0,eng,2003-07-01,atheneum books for young readers
299,517221144,treasure island,robert louis stevenson,milo winter,n,3.83,272,56,4,9780000000000.0,eng,2002-09-03,gramercy books
302,1577658051,treasure island (great illustrated classics),deidre s. laiken,a.j. mcallister/robert louis stevenson,n,4.05,232,91,16,9780000000000.0,eng,2006-01-31,abdo publishing company
313,933121180,100 years of lynchings,ralph ginzburg,,n,4.61,270,88,4,9780000000000.0,eng,1996-11-22,black classic press
324,785950109,cien años de soledad,gabriel garcía márquez,,n,4.07,448,63,7,9780000000000.0,spa,1990-01-01,french & european
330,394800842,on beyond zebra!,dr. seuss,,n,4.04,64,2815,164,9780000000000.0,eng,2055-09-12,random house books for young readers
332,821778250,the wedding clause,debbie raleigh,,n,3.6,256,95,13,9780000000000.0,eng,2005-06-07,zebra
333,60733039,the zebra wall,kevin henkes,,n,3.44,147,217,24,9780000000000.0,eng,2005-02-15,greenwillow books
337,8432216062,el perfume: historia de un asesino,patrick süskind,,n,4.02,239,4136,255,9790000000000.0,spa,2002-06-01,booket
348,345413997,the door into summer,robert a. heinlein,,n,4.01,304,17232,649,9780000000000.0,eng,1997-06-17,del rey
350,441788386,stranger in a strange land,robert a. heinlein,,n,3.92,528,251872,6241,9780000000000.0,eng,1991-10-01,ace
354,441748600,to sail beyond the sunset,robert a. heinlein,,y,3.87,434,10293,193,9780000000000.0,eng,1988-06-01,ace books
355,345316509,job: a comedy of justice,robert a. heinlein,,n,3.78,439,15970,438,9780000000000.0,eng,1985-10-12,del rey
356,765314932,time for the stars (heinlein's juveniles  #10),robert a. heinlein,,n,3.97,256,6898,200,9780000000000.0,eng,2006-08-08,tor books
357,671742515,the long dark tea-time of the soul (dirk gently  #2),douglas adams,,n,4.06,307,67803,1401,9780000000000.0,eng,1991-02-15,pocket books
359,345455290,the salmon of doubt (dirk gently  #3),douglas adams,,n,3.93,298,22091,746,9780000000000.0,eng,2005-04-26,del rey
362,345476514,wish you were here: the official biography of douglas adams,nick  webb,,n,4.14,368,2623,49,9780000000000.0,eng,2005-12-27,del rey
367,345368436,douglas adams's starship titanic,terry jones,,n,3.6,256,885,84,9780000000000.0,eng,1998-10-27,ballantine books
377,1417622857,salmon of doubt: hitchhiking the galaxy one last time,douglas adams,christopher cerf,n,3.93,336,5,0,9780000000000.0,eng,2003-07-01,turtleback books
382,573650969,the phantom tollbooth: a children's play in two acts,susan nanus,norton juster,n,4.13,72,100,13,9780000000000.0,eng,2011-01-12,samuel french  inc.
385,691122946,on bullshit,harry g. frankfurt,,n,3.57,67,9358,995,9780000000000.0,eng,2005-01-30,princeton university press
386,393329402,another bullshit night in suck city,nick flynn,,n,3.78,347,9318,907,9780000000000.0,eng,2005-09-12,w. w. norton & company
394,671867423,lincoln at gettysburg: the words that remade america,garry wills,,n,4.14,317,120,15,9780000000000.0,eng,1993-06-12,simon & schuster
397,395883970,the gettysburg address,abraham lincoln,michael mccurdy,n,4.53,32,5239,76,9780000000000.0,eng,1998-02-02,hmh books for young readers
399,684848155,underworld,don delillo,,n,3.92,827,1505,175,9780000000000.0,eng,1998-07-09,scribner
400,140156046,libra,don delillo,,n,3.99,480,11857,564,9780000000000.0,eng,1991-05-01,penguin
403,140119485,americana,don delillo,,n,3.43,377,393,55,9780000000000.0,eng,1989-07-06,penguin books
404,679722947,running dog,don delillo,,n,3.43,256,1356,72,9780000000000.0,eng,1989-07-17,vintage contemporaries
406,743244257,cosmopolis,don delillo,,n,3.22,224,460,41,9780000000000.0,eng,2004-04-06,scribner
407,140179178,great jones street,don delillo,,n,3.48,272,2492,145,9780000000000.0,eng,1994-01-01,penguin books
408,679722955,the names,don delillo,,n,3.64,339,3100,212,9780000000000.0,eng,1989-07-17,vintage
409,159420120x,against the day,thomas pynchon,,n,4.13,1085,5296,587,9780000000000.0,eng,2006-11-21,penguin press
410,60930217,v.,thomas pynchon,,n,3.96,547,1415,177,9780000000000.0,eng,2005-07-05,harper perennial modern classics
411,60931671,the crying of lot 49,thomas pynchon,,n,3.69,152,2161,230,9780000000000.0,eng,1999-04-01,harper perennial
32094,231121911,nathaniel hawthorne: the scarlet letter: essays  articles  reviews,elmer kennedy-andrews,,n,3.38,192,172,10,9780000000000.0,eng,2000-12-27,columbia university press
413,312423209,mason & dixon,thomas pynchon,christophe claro/brice matthieussent,n,4.07,773,8086,602,9780000000000.0,eng,2004-01-03,picador usa
414,141180633,vineland,thomas pynchon,,n,3.69,385,702,69,9780000000000.0,eng,1997-09-01,penguin classics
415,143039946,gravity's rainbow,thomas pynchon,,n,4.01,776,29764,2164,9780000000000.0,eng,2006-10-31,penguin books
416,316724432,slow learner: early stories,thomas pynchon,,n,3.5,193,334,34,9780000000000.0,eng,1985-04-30,back bay books
418,140189300,been down so long it looks like up to me,richard fariña,thomas pynchon,n,3.8,352,2473,220,9780000000000.0,eng,1996-08-29,penguin classics
420,140004314x,the year of magical thinking,joan didion,,n,3.89,227,2656,336,9780000000000.0,eng,2005-10-04,knopf publishing group
421,374522219,the white album,joan didion,,n,4.17,222,11889,738,9780000000000.0,eng,1990-10-01,farrar straus giroux
422,679754865,a book of common prayer,joan didion,,n,3.8,272,2962,255,9780000000000.0,eng,1995-04-11,vintage international
423,679752862,where i was from,joan didion,,n,3.86,240,2842,292,9780000000000.0,eng,2004-09-14,vintage
424,374521727,slouching towards bethlehem,joan didion,,n,4.21,238,26934,1825,9780000000000.0,eng,1990-10-01,farrar straus giroux
425,679754857,democracy,joan didion,,n,3.81,234,2070,169,9780000000000.0,eng,1995-04-25,vintage international
426,307264874,we tell ourselves stories in order to live: collected nonfiction,joan didion,john leonard,n,4.5,1122,1564,108,9780000000000.0,eng,2006-10-17,everyman's library
428,374529949,play it as it lays,joan didion,david thomson,n,3.87,231,23656,1706,9780000000000.0,eng,2005-11-15,farrar  straus and giroux
431,143039830,the new york trilogy,paul auster,art spiegelman/luc sante,n,3.89,308,43200,1873,9780000000000.0,eng,2006-03-28,penguin classics
432,140097317,city of glass (the new york trilogy  #1),paul auster,,n,3.79,203,12410,734,9780000000000.0,eng,1987-04-07,penguin books
434,014009735x,ghosts (the new york trilogy  #2),paul auster,,n,3.64,96,3672,195,9780000000000.0,eng,1987-07-07,penguin books
435,940650762,the locked room (the new york trilogy  #3),paul auster,,n,3.89,179,2998,164,9780000000000.0,eng,1986-11-01,sun and moon press
444,963188925,pyramids of montauk: explorations in consciousness,peter moon,preston b. nichols/nina helms,n,3.89,256,74,2,9780000000000.0,eng,1995-01-01,sky books (ny)
446,312426232,the brooklyn follies,paul auster,,n,3.84,306,17977,1157,9780000000000.0,eng,2006-10-17,picador
447,140115854,moon palace,paul auster,,n,3.94,320,16099,503,9780000000000.0,eng,1990-04-01,penguin books
453,140154078,the music of chance,paul auster,,n,3.9,217,361,36,9780000000000.0,eng,1991-12-01,penguin books
454,805081453,travels in the scriptorium,paul auster,,n,3.23,145,6688,562,9780000000000.0,eng,2007-01-23,henry holt & company
456,140178139,leviathan,paul auster,,n,3.96,275,11744,443,9780000000000.0,eng,1993-09-01,penguin books
463,811214982,the red notebook: true stories,paul auster,,n,3.77,104,2390,120,9780000000000.0,eng,2002-06-17,new directions
466,2742741461,timbuktu / leviathan / moon palace,paul auster,,n,4.38,1075,21,1,9780000000000.0,fra,2002-11-07,actes sud
475,143036556,collapse: how societies choose to fail or succeed,jared diamond,,n,3.93,608,52522,2780,9780000000000.0,eng,2005-12-27,penguin books ltd. (london)
